Fixed/Offset Slit,7.9999709,7.9999709,7.9999709,7.9999709,7.9999709,7.9999709,7.9999709,7.9999709,7.9999709,7.9999709,7.9999709,7.9999709,7.9999709,7.9999709,7.9999709,7.9999709,7.9999709,7.9999709,7.9999709,7.9999709,7.9999709,7.9999709,7.9999709,7.9999709,7.9999709,7.9999709,7.9999709,7.9999709,7.9999709,7.9999709,7.9999709,
Detector,PMT-900,PMT-900,PMT-900,PMT-900,PMT-900,PMT-900,PMT-900,PMT-900,PMT-900,PMT-900,PMT-900,PMT-900,PMT-900,PMT-900,PMT-900,PMT-900,PMT-900,PMT-900,PMT-900,PMT-900,PMT-900,PMT-900,PMT-900,PMT-900,PMT-900,PMT-900,PMT-900,PMT-900,PMT-900,PMT-900,PMT-900,

560.00,3.50069414E+4,3.11758691E+4,3.70961211E+4,3.67197422E+4,3.90252930E+4,4.20545117E+4,4.76783867E+4,6.81101641E+4,8.15307344E+4,8.47836016E+4,8.97874453E+4,7.36813125E+4,4.46455313E+4,2.63156621E+4,2.09427070E+4,1.91953613E+4,1.93862773E+4,2.16736484E+4,1.97972051E+4,1.75807461E+4,2.12209004E+4,2.40992051E+4,1.79280332E+4,9.34403320E+3,4.56383008E+3,3.95653174E+3,4.05471753E+3,3.63651807E+3,3.15104297E+3,2.76193555E+3,2.24009521E+3,
565.00,3.15152988E+4,2.77047559E+4,3.38620000E+4,3.29335742E+4,3.54454570E+4,3.77655781E+4,4.27513711E+4,6.13066484E+4,7.31483828E+4,7.74032031E+4,8.14719609E+4,6.83030859E+4,4.16976328E+4,2.31480527E+4,1.78281016E+4,1.65731094E+4,1.65598203E+4,1.80179648E+4,1.63699570E+4,1.50295264E+4,1.76800098E+4,2.09133691E+4,1.62826201E+4,8.50015039E+3,4.50354199E+3,3.59030249E+3,3.72320630E+3,3.51435742E+3,3.03590356E+3,2.69984668E+3,2.02773303E+3,
570.00,2.83454512E+4,2.49547246E+4,3.05463457E+4,2.99643398E+4,3.17917969E+4,3.47038125E+4,3.82315977E+4,5.40947227E+4,6.51707031E+4,6.89845234E+4,7.20614063E+4,6.16607930E+4,3.88573047E+4,2.16613281E+4,1.73211172E+4,1.54976328E+4,1.54440010E+4,1.68523340E+4,1.55075645E+4,1.40038848E+4,1.67053438E+4,1.84255371E+4,1.37257930E+4,7.31181543E+3,3.94889673E+3,3.42846875E+3,3.24969580E+3,3.07886816E+3,2.96763184E+3,2.38959912E+3,1.96848938E+3,
575.00,2.69905273E+4,2.36065781E+4,2.82688613E+4,2.80921816E+4,2.99296563E+4,3.21101016E+4,3.58328594E+4,5.09608594E+4,6.01336875E+4,6.42472227E+4,6.74191563E+4,5.84375586E+4,4.00669531E+4,2.55188828E+4,2.09771582E+4,1.95533223E+4,1.93496191E+4,2.18626387E+4,1.93059688E+4,1.79507266E+4,2.14032695E+4,2.21411699E+4,1.46603145E+4,7.12749463E+3,3.74978125E+3,3.31743408E+3,3.24260474E+3,2.96823047E+3,2.67722754E+3,2.29892358E+3,1.99544910E+3,
580.00,2.66300137E+4,2.25297793E+4,2.80347637E+4,2.73248594E+4,2.97708008E+4,3.15218984E+4,3.46820469E+4,5.01515078E+4,5.80637109E+4,6.33299102E+4,6.67159375E+4,5.93307852E+4,4.52811328E+4,3.33633477E+4,2.88866484E+4,2.69806621E+4,2.74087559E+4,3.08786816E+4,2.82047090E+4,2.61051152E+4,3.14380020E+4,3.29180430E+4,2.03312266E+4,8.34675293E+3,3.80336572E+3,3.20102271E+3,3.12357861E+3,2.80734863E+3,2.66751880E+3,2.17703955E+3,1.83284363E+3,
585.00,2.63297813E+4,2.27899648E+4,2.71760156E+4,2.67899355E+4,2.96967617E+4,3.15643145E+4,3.52073867E+4,4.97437617E+4,5.86707461E+4,6.25899102E+4,6.61342188E+4,5.93374063E+4,4.80288438E+4,3.85025352E+4,3.48168164E+4,3.22287305E+4,3.34139063E+4,3.75395820E+4,3.41815781E+4,3.16989922E+4,3.89604453E+4,4.29020586E+4,2.73196738E+4,1.09943115E+4,4.29626611E+3,3.23454517E+3,3.11333398E+3,2.95171899E+3,2.39953418E+3,2.10772925E+3,1.77103137E+3,
590.00,2.61797246E+4,2.19528867E+4,2.61212461E+4,2.63013594E+4,2.88019063E+4,3.14708730E+4,3.48158516E+4,4.90963398E+4,5.82400625E+4,6.14821172E+4,6.53370313E+4,5.71570352E+4,4.82098008E+4,4.04438359E+4,3.69164063E+4,3.55760742E+4,3.56743164E+4,3.97350742E+4,3.80813008E+4,3.48579570E+4,4.20695430E+4,4.65723984E+4,3.26568203E+4,1.32793330E+4,5.17886963E+3,3.96251367E+3,3.51573682E+3,3.09702954E+3,2.55434766E+3,2.04675293E+3,1.77775110E+3,
595.00,2.43339590E+4,2.07058984E+4,2.50120781E+4,2.60378262E+4,2.79424355E+4,2.98862148E+4,3.43294883E+4,4.64915703E+4,5.44992578E+4,5.87124102E+4,6.21984805E+4,5.41981406E+4,4.41732344E+4,3.63589492E+4,3.33894219E+4,3.28483984E+4,3.36758516E+4,3.67873633E+4,3.45742969E+4,3.28777734E+4,3.91987266E+4,4.31572813E+4,3.15313281E+4,1.42551953E+4,5.65017871E+3,4.46530615E+3,3.60113232E+3,3.20699072E+3,2.63903491E+3,2.20572412E+3,1.88257690E+3,
600.00,2.21703008E+4,1.90841738E+4,2.30945977E+4,2.24450215E+4,2.49329219E+4,2.69946191E+4,3.02964141E+4,4.31698242E+4,5.07696016E+4,5.39892383E+4,5.72319805E+4,4.87412813E+4,3.78294375E+4,3.03015488E+4,2.70639414E+4,2.57853301E+4,2.66300352E+4,2.95775176E+4,2.77109492E+4,2.65401719E+4,3.22323047E+4,3.51001953E+4,2.60728887E+4,1.25781475E+4,5.38146484E+3,4.14136572E+3,3.33003809E+3,2.88586182E+3,2.45965796E+3,2.16182886E+3,1.74332764E+3,
605.00,2.05692344E+4,1.74452383E+4,2.13549590E+4,2.09823477E+4,2.28805059E+4,2.53186816E+4,2.83481738E+4,3.95049180E+4,4.70570508E+4,5.06832617E+4,5.32861445E+4,4.59743203E+4,3.43558594E+4,2.66714219E+4,2.35609277E+4,2.32477168E+4,2.28616055E+4,2.56075898E+4,2.40226406E+4,2.29021074E+4,2.75948516E+4,3.04542402E+4,2.24106914E+4,1.07868330E+4,4.97355322E+3,3.62351172E+3,3.25630054E+3,2.80538647E+3,2.45977588E+3,2.02236243E+3,1.72265320E+3,
610.00,1.86968320E+4,1.61052764E+4,1.94181328E+4,1.95720879E+4,2.09947344E+4,2.31814473E+4,2.62690762E+4,3.71256680E+4,4.38796797E+4,4.67506328E+4,4.94277188E+4,4.25767734E+4,3.19739199E+4,2.39198555E+4,2.10004355E+4,1.97488496E+4,2.09975859E+4,2.28222227E+4,2.14223828E+4,2.02591777E+4,2.48777910E+4,2.70188887E+4,1.98400801E+4,9.58504883E+3,4.59580566E+3,3.75191064E+3,3.20166846E+3,3.02775781E+3,2.59155542E+3,2.11258789E+3,1.56234583E+3,
615.00,1.64019824E+4,1.43174189E+4,1.77383965E+4,1.78288984E+4,1.88002852E+4,2.05288750E+4,2.34551074E+4,3.21523516E+4,3.88736328E+4,4.16037773E+4,4.31785117E+4,3.81405664E+4,2.79952910E+4,2.06103262E+4,1.77625293E+4,1.68725938E+4,1.71109160E+4,1.93251973E+4,1.80280020E+4,1.67368398E+4,2.04232891E+4,2.25561191E+4,1.74065547E+4,8.73042773E+3,4.20834375E+3,3.29729028E+3,2.98354980E+3,2.69696021E+3,2.35003564E+3,1.92467627E+3,1.56266821E+3,
620.00,1.48722275E+4,1.29683262E+4,1.58626416E+4,1.51639033E+4,1.66447148E+4,1.77921855E+4,2.01319961E+4,2.92412363E+4,3.51965391E+4,3.69209453E+4,3.96069219E+4,3.43503594E+4,2.48500820E+4,1.69395957E+4,1.56991748E+4,1.42888779E+4,1.46190156E+4,1.61863691E+4,1.54716045E+4,1.42888779E+4,1.73626855E+4,1.88402930E+4,1.50228730E+4,7.58675928E+3,3.53856445E+3,3.01931860E+3,2.41032666E+3,2.44237891E+3,2.19878198E+3,1.84300232E+3,1.43593921E+3,
